class_code,class_name,base_pixels,predicted_pixels,base_area_km2,predicted_area_km2,change_area_km2
1,Cropland,11143886,11046290,10029.497400,9941.661000,-87.836400
2,Forest,381120,394428,343.008000,354.985200,11.977200
3,Shrub,0,0,0.000000,0.000000,0.000000
4,Grassland,75244,98976,67.719600,89.078400,21.358800
5,Water,229381,194294,206.442900,174.864600,-31.578300
6,Snow/Ice,0,0,0.000000,0.000000,0.000000
7,Barren,3279,3223,2.951100,2.900700,-0.050400
8,Impervious,2466819,2562518,2220.137100,2306.266200,86.129100
9,Wetland,0,0,0.000000,0.000000,0.000000
