class_code,class_name,actual_pixels,predicted_pixels,correct_pixels,producer_accuracy,user_accuracy,f1_score
1,Cropland,11243571,11397503,10923896,0.971568,0.958446,0.964963
2,Forest,367599,300545,278829,0.758514,0.927745,0.834637
3,Shrub,0,0,0,0.000000,0.000000,0.000000
4,Grassland,41687,46330,12622,0.302780,0.272437,0.286808
5,Water,273112,263234,170720,0.625092,0.648548,0.636604
6,Snow/Ice,0,0,0,0.000000,0.000000,0.000000
7,Barren,3446,3133,883,0.256239,0.281838,0.268430
8,Impervious,2370314,2288984,2066163,0.871683,0.902655,0.886899
9,Wetland,0,0,0,0.000000,0.000000,0.000000
