class_code,class_name,actual_pixels,predicted_pixels,correct_pixels,producer_accuracy,user_accuracy,f1_score
1,Cropland,11143886,10917955,10704278,0.960552,0.980429,0.970388
2,Forest,381120,392276,337514,0.885585,0.860399,0.872810
3,Shrub,0,0,0,0.000000,0.000000,0.000000
4,Grassland,75244,34377,14894,0.197943,0.433255,0.271736
5,Water,229381,306622,187677,0.818189,0.612079,0.700283
6,Snow/Ice,0,0,0,0.000000,0.000000,0.000000
7,Barren,3279,3159,1136,0.346447,0.359607,0.352905
8,Impervious,2466819,2645340,2355586,0.954908,0.890466,0.921562
9,Wetland,0,0,0,0.000000,0.000000,0.000000
