from_code,from_name,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9
1,Cropland,0.98500983,0.00243802,0.00000000,0.00392117,0.00045430,0.00000000,0.00000027,0.00817641,0.00000000
2,Forest,0.03959750,0.95999173,0.00000000,0.00006801,0.00001088,0.00000000,0.00000000,0.00033188,0.00000000
3,Shrub,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,Grassland,0.21589464,0.01743949,0.00000000,0.72315110,0.00028786,0.00000000,0.00503754,0.03818936,0.00000000
5,Water,0.16369109,0.00032587,0.00000000,0.00319649,0.80538753,0.00000000,0.00248616,0.02491286,0.00000000
6,Snow/Ice,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
7,Barren,0.16686013,0.00000000,0.00000000,0.03250145,0.02350551,0.00000000,0.69210679,0.08502612,0.00000000
8,Impervious,0.00000886,0.00000000,0.00000000,0.00000000,0.00177825,0.00000000,0.00000084,0.99821205,0.00000000
9,Wetland,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
