from_code,from_name,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9
1,Cropland,0.96241885,0.00677089,0.00000476,0.00545761,0.00310179,0.00000000,0.00001651,0.02222959,0.00000000
2,Forest,0.03883291,0.96029597,0.00007609,0.00007347,0.00000262,0.00000000,0.00000000,0.00071893,0.00000000
3,Shrub,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,Grassland,0.24250439,0.03858115,0.00001329,0.58488384,0.01277178,0.00000000,0.03095263,0.09029291,0.00000000
5,Water,0.06582062,0.00193564,0.00000000,0.00036620,0.89880156,0.00000000,0.00853166,0.02454432,0.00000000
6,Snow/Ice,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
7,Barren,0.06129918,0.00000000,0.00000000,0.02927722,0.11375419,0.00000000,0.57883501,0.21683440,0.00000000
8,Impervious,0.00005067,0.00000000,0.00000000,0.00000000,0.00578518,0.00000000,0.00001784,0.99414631,0.00000000
9,Wetland,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
