class_code,class_name,actual_pixels,predicted_pixels,correct_pixels,producer_accuracy,user_accuracy,f1_score
1,Cropland,10773557,11046290,10656361,0.989122,0.964700,0.976759
2,Forest,444789,394428,371689,0.835652,0.942349,0.885800
3,Shrub,83,0,0,0.000000,0.000000,0.000000
4,Grassland,105036,98976,48536,0.462089,0.490382,0.475815
5,Water,256340,194294,178096,0.694765,0.916631,0.790424
6,Snow/Ice,0,0,0,0.000000,0.000000,0.000000
7,Barren,6412,3223,1873,0.292109,0.581136,0.388791
8,Impervious,2713512,2562518,2469256,0.909985,0.963605,0.936028
9,Wetland,0,0,0,0.000000,0.000000,0.000000
