class_code,class_name,actual_pixels,predicted_pixels,correct_pixels,producer_accuracy,user_accuracy,f1_score
1,Cropland,11580208,11648759,11281472,0.974203,0.968470,0.971328
2,Forest,340241,361703,296643,0.871861,0.820129,0.845204
3,Shrub,0,0,0,0.000000,0.000000,0.000000
4,Grassland,55791,67985,21267,0.381191,0.312819,0.343637
5,Water,233395,197799,130822,0.560518,0.661389,0.606790
6,Snow/Ice,0,0,0,0.000000,0.000000,0.000000
7,Barren,4235,5129,1754,0.414168,0.341977,0.374626
8,Impervious,2085859,2018353,1853668,0.888683,0.918406,0.903300
9,Wetland,0,1,0,0.000000,0.000000,0.000000
