from_code,from_name,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9
1,Cropland,0.98191366,0.00128599,0.00000000,0.00174036,0.00251091,0.00000000,0.00000456,0.01254452,0.00000000
2,Forest,0.10247020,0.89577245,0.00000000,0.00033358,0.00009186,0.00000000,0.00000000,0.00133191,0.00000000
3,Shrub,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,Grassland,0.35282950,0.00434604,0.00000000,0.60570017,0.00117800,0.00000000,0.00894368,0.02700261,0.00000000
5,Water,0.19690673,0.00083211,0.00000000,0.00701566,0.76912613,0.00000000,0.00126063,0.02485874,0.00000000
6,Snow/Ice,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
7,Barren,0.23190305,0.00000000,0.00000000,0.04039742,0.02904247,0.00000000,0.61480511,0.08385195,0.00000000
8,Impervious,0.00002594,0.00000000,0.00000000,0.00000000,0.00810492,0.00000000,0.00000576,0.99186338,0.00000000
9,Wetland,0.50000000,0.00000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0.00000000,0.30000000
