from_code,from_name,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9
1,Cropland,11075028,27412,0,44088,5108,0,3,91932,0
2,Forest,14556,352892,0,25,4,0,0,122,0
3,Shrub,0,0,0,0,0,0,0,0,0
4,Grassland,9000,727,0,30146,12,0,210,1592,0
5,Water,44706,89,0,873,219961,0,679,6804,0
6,Snow/Ice,0,0,0,0,0,0,0,0,0
7,Barren,575,0,0,112,81,0,2385,293,0
8,Impervious,21,0,0,0,4215,0,2,2366076,0
9,Wetland,0,0,0,0,0,0,0,0,0
