class_code,class_name,base_pixels,markov_demand_pixels,ca_predicted_pixels,actual_pixels,markov_demand_area_km2,ca_predicted_area_km2,actual_area_km2,ca_area_difference_km2
1,Cropland,11143886,11046290,11046290,10773557,9941.661000,9941.661000,9696.201300,245.459700
2,Forest,381120,394428,394428,444789,354.985200,354.985200,400.310100,-45.324900
3,Shrub,0,0,0,83,0.000000,0.000000,0.074700,-0.074700
4,Grassland,75244,98976,98976,105036,89.078400,89.078400,94.532400,-5.454000
5,Water,229381,194294,194294,256340,174.864600,174.864600,230.706000,-55.841400
6,Snow/Ice,0,0,0,0,0.000000,0.000000,0.000000,0.000000
7,Barren,3279,3223,3223,6412,2.900700,2.900700,5.770800,-2.870100
8,Impervious,2466819,2562518,2562518,2713512,2306.266200,2306.266200,2442.160800,-135.894600
9,Wetland,0,0,0,0,0.000000,0.000000,0.000000,0.000000
