from_code,from_name,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9
1,Cropland,11183699,41151,0,14060,62298,0,8,278992,0
2,Forest,14106,325298,0,185,0,0,0,652,0
3,Shrub,0,0,0,0,0,0,0,0,0
4,Grassland,21550,1134,0,27339,306,0,349,5113,0
5,Water,22825,16,0,40,199247,0,1056,10211,0
6,Snow/Ice,0,0,0,0,0,0,0,0,0
7,Barren,823,0,0,63,134,0,2033,1182,0
8,Impervious,568,0,0,0,11127,0,0,2074164,0
9,Wetland,0,0,0,0,0,0,0,0,0
