class_code,class_name,actual_pixels,predicted_pixels,correct_pixels,producer_accuracy,user_accuracy,f1_score
1,Cropland,10773557,11046290,10656105,0.989098,0.964677,0.976735
2,Forest,444789,394428,371583,0.835414,0.942081,0.885547
3,Shrub,83,0,0,0.000000,0.000000,0.000000
4,Grassland,105036,98976,48235,0.459224,0.487340,0.472864
5,Water,256340,194294,177448,0.692237,0.913296,0.787548
6,Snow/Ice,0,0,0,0.000000,0.000000,0.000000
7,Barren,6412,3223,1870,0.291641,0.580205,0.388168
8,Impervious,2713512,2562518,2468854,0.909837,0.963448,0.935876
9,Wetland,0,0,0,0.000000,0.000000,0.000000
