from_code,from_name,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9
1,Cropland,0.97543296,0.00070714,0.00000000,0.00175934,0.00423331,0.00000000,0.00000655,0.01786071,0.00000000
2,Forest,0.13929610,0.85731331,0.00000000,0.00004659,0.00003882,0.00000000,0.00000000,0.00330517,0.00000000
3,Shrub,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,Grassland,0.46926072,0.00460891,0.00000000,0.46233412,0.01909782,0.00000000,0.00794639,0.03675205,0.00000000
5,Water,0.11294457,0.00174226,0.00000000,0.00028198,0.85460213,0.00000000,0.00339388,0.02703519,0.00000000
6,Snow/Ice,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
7,Barren,0.41961367,0.00000000,0.00000000,0.01887073,0.05096582,0.00000000,0.42659733,0.08395245,0.00000000
8,Impervious,0.00003567,0.00000000,0.00000000,0.00000053,0.00645111,0.00000000,0.00000692,0.99350576,0.00000000
9,Wetland,0.33333333,0.00000000,0.00000000,0.00000000,0.33333333,0.00000000,0.00000000,0.33333333,0.00000000
