actual_code,actual_name,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,predicted_7,predicted_8,predicted_9
1,Cropland,11281472,63204,0,41617,46104,0,2158,145652,1
2,Forest,42348,296643,0,354,326,0,5,565,0
3,Shrub,0,0,0,0,0,0,0,0,0
4,Grassland,32577,198,0,21267,147,0,374,1228,0
5,Water,82770,226,0,2175,130822,0,440,16962,0
6,Snow/Ice,0,0,0,0,0,0,0,0,0
7,Barren,1107,1,0,487,608,0,1754,278,0
8,Impervious,208485,1431,0,2085,19792,0,398,1853668,0
9,Wetland,0,0,0,0,0,0,0,0,0
