class_code,class_name,actual_pixels,predicted_pixels,correct_pixels,producer_accuracy,user_accuracy,f1_score
1,Cropland,10773557,11046290,10571442,0.981240,0.957013,0.968975
2,Forest,444789,394428,351567,0.790413,0.891334,0.837845
3,Shrub,83,0,0,0.000000,0.000000,0.000000
4,Grassland,105036,98976,32112,0.305724,0.324442,0.314805
5,Water,256340,194294,166154,0.648178,0.855168,0.737423
6,Snow/Ice,0,0,0,0.000000,0.000000,0.000000
7,Barren,6412,3223,1332,0.207735,0.413280,0.276492
8,Impervious,2713512,2562518,2450518,0.903080,0.956293,0.928925
9,Wetland,0,0,0,0.000000,0.000000,0.000000
