from_code,from_name,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9
1,Cropland,10725086,75454,53,60819,34566,0,184,247724,0
2,Forest,14800,365988,29,28,1,0,0,274,0
3,Shrub,0,0,0,0,0,0,0,0,0
4,Grassland,18247,2903,1,44009,961,0,2329,6794,0
5,Water,15098,444,0,84,206168,0,1957,5630,0
6,Snow/Ice,0,0,0,0,0,0,0,0,0
7,Barren,201,0,0,96,373,0,1898,711,0
8,Impervious,125,0,0,0,14271,0,44,2452379,0
9,Wetland,0,0,0,0,0,0,0,0,0
