class_code,class_name,base_pixels,markov_projected_pixels,predicted_raster_pixels,actual_pixels,markov_projected_area_km2,actual_area_km2,area_difference_km2
1,Cropland,11580208,11397503,11397503,11243571,10257.752700,10119.213900,138.538800
2,Forest,340241,300545,300545,367599,270.490500,330.839100,-60.348600
3,Shrub,0,0,0,0,0.000000,0.000000,0.000000
4,Grassland,55791,46330,46330,41687,41.697000,37.518300,4.178700
5,Water,233395,263234,263234,273112,236.910600,245.800800,-8.890200
6,Snow/Ice,0,0,0,0,0.000000,0.000000,0.000000
7,Barren,4235,3133,3133,3446,2.819700,3.101400,-0.281700
8,Impervious,2085859,2288984,2288984,2370314,2060.085600,2133.282600,-73.197000
9,Wetland,0,0,0,0,0.000000,0.000000,0.000000
