actual_code,actual_name,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,predicted_7,predicted_8,predicted_9
1,Cropland,10653093,23468,0,33309,12419,0,201,51067,0
2,Forest,68702,370241,0,4214,392,0,0,1240,0
3,Shrub,53,29,0,1,0,0,0,0,0
4,Grassland,57506,189,0,47083,80,0,96,82,0
5,Water,34048,222,0,3106,175711,0,372,42881,0
6,Snow/Ice,0,0,0,0,0,0,0,0,0
7,Barren,144,0,0,2426,1662,0,1864,316,0
8,Impervious,232744,279,0,8837,4030,0,690,2466932,0
9,Wetland,0,0,0,0,0,0,0,0,0
