from_code,from_name,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9
1,Cropland,0.96575977,0.00355356,0.00000000,0.00121414,0.00537970,0.00000000,0.00000069,0.02409214,0.00000000
2,Forest,0.04145885,0.95608113,0.00000000,0.00054373,0.00000000,0.00000000,0.00000000,0.00191629,0.00000000
3,Shrub,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,Grassland,0.38626302,0.02032586,0.00000000,0.49002527,0.00548476,0.00000000,0.00625549,0.09164561,0.00000000
5,Water,0.09779558,0.00006855,0.00000000,0.00017138,0.85369010,0.00000000,0.00452452,0.04374987,0.00000000
6,Snow/Ice,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
7,Barren,0.19433294,0.00000000,0.00000000,0.01487603,0.03164109,0.00000000,0.48004723,0.27910272,0.00000000
8,Impervious,0.00027231,0.00000000,0.00000000,0.00000000,0.00533449,0.00000000,0.00000000,0.99439320,0.00000000
9,Wetland,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
