class_code,class_name,actual_pixels,predicted_pixels,correct_pixels,producer_accuracy,user_accuracy,f1_score
1,Cropland,10773557,11046290,10656037,0.989092,0.964671,0.976729
2,Forest,444789,394428,371493,0.835212,0.941853,0.885332
3,Shrub,83,0,0,0.000000,0.000000,0.000000
4,Grassland,105036,98976,48690,0.463555,0.491937,0.477325
5,Water,256340,194294,178746,0.697300,0.919977,0.793309
6,Snow/Ice,0,0,0,0.000000,0.000000,0.000000
7,Barren,6412,3223,1871,0.291797,0.580515,0.388376
8,Impervious,2713512,2562518,2469517,0.910081,0.963707,0.936127
9,Wetland,0,0,0,0.000000,0.000000,0.000000
