actual_code,actual_name,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,predicted_7,predicted_8,predicted_9
1,Cropland,2656742.992500,24277.312500,0.000000,19800.170500,9170.318250,0.000000,131.000000,36036.966000,0.000000
2,Forest,3650.789500,90315.838000,0.000000,313.501000,19.000000,0.000000,0.000000,92.515500,0.000000
3,Shrub,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,Grassland,8012.770750,167.819000,0.000000,10309.764250,169.000000,0.000000,32.000000,106.122750,0.000000
5,Water,1784.863500,1.000000,0.000000,13.000000,54143.930375,0.000000,24.000000,1140.000000,0.000000
6,Snow/Ice,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,Barren,10.000000,0.000000,0.000000,53.000000,152.000000,0.000000,590.000000,15.000000,0.000000
8,Impervious,13659.461500,45.491500,0.000000,352.847000,1726.457500,0.000000,60.000000,593701.585000,0.000000
9,Wetland,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
