rank,feature,importance
1,current_is_1_Cropland,0.27528433
2,current_is_8_Impervious,0.23505968
3,neighbor_frac_1_Cropland,0.13957158
4,neighbor_frac_8_Impervious,0.10933415
5,current_is_2_Forest,0.03885287
6,driver_nightlight_2020,0.03855399
7,neighbor_frac_2_Forest,0.03107024
8,driver_road_closeness_2020,0.02567587
9,driver_elevation_norm_2020,0.02462155
10,current_is_5_Water,0.02310154
11,driver_water_closeness_2020,0.02244266
12,neighbor_frac_5_Water,0.01841083
13,driver_low_slope_2020,0.00891080
14,neighbor_frac_4_Grassland,0.00463381
15,current_is_4_Grassland,0.00369492
16,neighbor_frac_7_Barren,0.00051674
17,current_is_7_Barren,0.00026445
18,current_is_3_Shrub,0.00000000
19,current_is_6_Snow/Ice,0.00000000
20,current_is_9_Wetland,0.00000000
21,neighbor_frac_3_Shrub,0.00000000
22,neighbor_frac_6_Snow/Ice,0.00000000
23,neighbor_frac_9_Wetland,0.00000000
