split,city,from_year,to_year,driver_year,sample_weight_mode,sample_count,weighted_pixel_count,overall_accuracy,weighted_overall_accuracy,kappa,weighted_kappa,macro_f1,weighted_f1,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,oob_score,sample_file
train,shenyang,2015,2020,2020,transition,83949,10772908.483125,0.513324,0.988115,0.393938,0.966979,0.370227,0.987963,300,,1,2,sqrt,none,,E:\RF-CA\data\samples\shenyang\shenyang_rf_samples_fit_2015_2020_driver2020_n5_chg8000_stay8000_seed42.npz
validation,shenyang,2015,2020,2020,transition,27983,3526820.516875,0.493943,0.965687,0.369455,0.908575,0.360883,0.967159,300,,1,2,sqrt,none,,E:\RF-CA\data\samples\shenyang\shenyang_rf_samples_fit_2015_2020_driver2020_n5_chg8000_stay8000_seed42.npz
