actual_code,actual_name,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,predicted_7,predicted_8,predicted_9
1,Cropland,2559301.376875,38497.760375,0.000000,20543.659125,13060.319625,0.000000,28.842625,169038.249875,0.000000
2,Forest,7065.517250,103221.550500,0.000000,1103.292250,435.111250,0.000000,0.000000,1018.629000,0.000000
3,Shrub,13.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
4,Grassland,10484.694125,491.450750,0.000000,13619.960000,37.604625,0.000000,33.503375,1588.779125,0.000000
5,Water,2458.428750,21.603750,0.000000,67.962250,57458.938125,0.000000,73.000000,4199.608625,0.000000
6,Snow/Ice,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,Barren,98.000000,1.000000,0.000000,402.000000,487.000000,0.000000,458.000000,157.000000,0.000000
8,Impervious,30367.569500,226.827500,0.000000,1736.137500,2720.301250,0.000000,105.000000,633623.687625,0.000000
9,Wetland,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
