class_code,class_name,support_samples,estimated_support_pixels,precision,recall,f1_score,weighted_precision,weighted_recall,weighted_f1_score
1,Cropland,8149,2746158.759750,0.359890,0.337587,0.348382,0.989896,0.967440,0.978539
2,Forest,4204,94391.644000,0.587321,0.683159,0.631625,0.786672,0.956820,0.863444
3,Shrub,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,Grassland,4252,18797.476750,0.543617,0.581844,0.562081,0.334274,0.548465,0.415383
5,Water,4355,57106.793875,0.368630,0.490011,0.420741,0.828133,0.948117,0.884073
6,Snow/Ice,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,Barren,820,820.000000,0.704898,0.719512,0.712130,0.704898,0.719512,0.712130
8,Impervious,6203,609545.842500,0.702481,0.483798,0.572983,0.940753,0.974006,0.957091
9,Wetland,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
